id,batch_id,gravity,temperature,battery,angle,timestamp,brix
1,001,1.01574,30.1875,4.056309,31.13034,2025-10-06T16:08:45.513729,4.012791458750712
2,001,1.014763,30.1875,4.056309,30.65194,2025-10-06T16:08:58.411916,3.7666275363553723
3,001,1.013954,30.125,4.056309,30.26313,2025-10-06T16:09:10.999436,3.5624745753632396
4,001,1.013093,30.0625,4.056309,29.85785,2025-10-06T16:09:23.931160,3.3448819986737135
5,001,1.013142,30.0625,4.056309,29.88073,2025-10-06T16:09:39.360793,3.3572741079572097
6,001,1.012202,30.0,4.056309,29.44606,2025-10-06T16:09:52.184417,3.1193625918255066
7,001,1.011712,30.0,4.056309,29.22307,2025-10-06T16:10:05.014049,2.995189653138368
8,001,1.011308,29.9375,4.056309,29.04085,2025-10-06T16:10:19.631569,2.892730196267962
9,001,1.011357,29.875,4.056309,29.06298,2025-10-06T16:10:34.292574,2.9051610718022403
10,001,1.011855,29.875,4.056309,29.28808,2025-10-06T16:10:46.968348,3.03143888281852
11,001,1.011593,29.8125,4.056309,29.16903,2025-10-06T16:11:01.854007,2.965017292280322
12,001,1.010993,29.8125,4.056309,28.90001,2025-10-06T16:11:16.785212,2.8127919520472915
13,001,1.010958,29.8125,4.051095,28.88453,2025-10-06T16:11:29.947419,2.8039072025529777
14,001,1.010586,29.8125,4.056309,28.71969,2025-10-06T16:11:42.821448,2.709441340963167
15,001,1.00993,29.75,4.051095,28.43188,2025-10-06T16:11:55.471748,2.542706294038112
16,001,1.010132,29.75,4.056309,28.51989,2025-10-06T16:12:08.127238,2.594068912632565
17,001,1.010348,29.75,4.056309,28.61457,2025-10-06T16:12:20.945290,2.64897120473438
18,001,1.010942,29.75,4.056309,28.87721,2025-10-06T16:12:36.935196,2.799845421387431
19,001,1.01078,29.6875,4.056309,28.80537,2025-10-06T16:12:49.573478,2.7587134757168315
20,001,1.0111,29.6875,4.056309,28.94798,2025-10-06T16:13:02.132408,2.8399505233110176
21,001,1.011108,29.6875,4.051095,28.95131,2025-10-06T16:13:14.718613,2.841980866230756
22,001,1.01095,29.6875,4.056309,28.88088,2025-10-06T16:13:29.283647,2.8018763261978847
23,001,1.010298,29.625,4.056309,28.59247,2025-10-06T16:13:42.102617,2.636264189115991
24,001,1.01043,29.625,4.056309,28.65089,2025-10-06T16:13:58.264801,2.6698083005830995
25,001,1.010144,29.625,4.056309,28.52542,2025-10-06T16:14:11.081809,2.597119585175733
26,001,1.010129,29.625,4.056309,28.51871,2025-10-06T16:14:24.592144,2.593306234472948
27,001,1.010618,29.625,4.056309,28.73368,2025-10-06T16:14:39.839637,2.7175698566603614
28,001,1.011314,29.5625,4.056309,29.04359,2025-10-06T16:14:52.559209,2.8942524015949402
29,001,1.010934,29.5625,4.051095,28.87383,2025-10-06T16:15:05.846997,2.797814488120821
30,001,1.008383,29.5625,4.056309,27.76857,2025-10-06T16:15:20.888034,2.148746328072207
31,001,1.008354,29.5625,4.056309,27.75636,2025-10-06T16:15:33.672773,2.141350958414023
32,001,1.009757,29.5,4.051095,28.35667,2025-10-06T16:15:46.727023,2.4987030586181618
33,001,1.007618,29.5,4.056309,27.44836,2025-10-06T16:16:03.369431,1.9535355357438675
34,001,1.010376,29.5,4.051095,28.62679,2025-10-06T16:16:16.036871,2.6560866472315183
35,001,1.01038,29.5,4.056309,28.62869,2025-10-06T16:16:28.586842,2.657103110520552
36,001,1.010352,29.5,4.051095,28.61662,2025-10-06T16:16:41.359763,2.649987717892145
37,001,1.01116,29.5,4.056309,28.97471,2025-10-06T16:16:56.649018,2.8551774019033473
38,001,1.011501,29.5,4.051095,29.12755,2025-10-06T16:17:10.250202,2.9416864526822337
39,001,1.01236,29.4375,4.051095,29.51847,2025-10-06T16:17:23.155674,3.1593793323809223
40,001,1.012929,29.4375,4.051095,29.78127,2025-10-06T16:17:35.786783,3.3033986421829695
41,001,1.013664,29.4375,4.051095,30.12557,2025-10-06T16:17:50.903117,3.4892221286490894
42,001,1.013786,29.4375,4.051095,30.18339,2025-10-06T16:18:03.760843,3.520043199632937
43,001,1.014149,29.4375,4.051095,30.3561,2025-10-06T16:18:16.708458,3.6117096600078185
44,001,1.014414,29.4375,4.051095,30.48347,2025-10-06T16:18:29.537812,3.6785919932705156
45,001,1.014657,29.4375,4.056309,30.60056,2025-10-06T16:18:42.122458,3.7398946219245772
46,001,1.014401,29.375,4.056309,30.47711,2025-10-06T16:18:56.983601,3.675311695383698
47,001,1.013556,29.4375,4.035453,30.07486,2025-10-06T16:19:10.014139,3.4619324167116474
48,001,1.013884,29.375,4.056309,30.23011,2025-10-06T16:19:22.871178,3.5447963495261092
49,001,1.013818,29.375,4.051095,30.19881,2025-10-06T16:19:37.366362,3.528126327008181
50,001,1.012354,29.375,4.051095,29.51553,2025-10-06T16:19:50.304605,3.157859911390119
51,001,1.012221,29.375,4.051095,29.45474,2025-10-06T16:20:02.967303,3.1241753167327033
52,001,1.012108,29.375,4.045881,29.40312,2025-10-06T16:20:15.491416,3.095549914379035
53,001,1.011987,29.375,4.056309,29.34788,2025-10-06T16:20:28.341732,3.0648916583451182
54,001,1.011897,29.375,4.045881,29.30677,2025-10-06T16:20:40.898608,3.0420837860904157
55,001,1.011907,29.375,4.056309,29.31139,2025-10-06T16:20:53.493079,3.0446181715358307
56,001,1.012724,29.375,4.056309,29.6861,2025-10-06T16:21:08.330443,3.2515277114598575
57,001,1.012828,29.375,4.051095,29.73438,2025-10-06T16:21:20.934579,3.2778450445479166
58,001,1.012773,29.3125,4.056309,29.70867,2025-10-06T16:21:33.736501,3.263927820592585
59,001,1.012764,29.375,4.051095,29.70493,2025-10-06T16:21:46.310049,3.26165032920278
60,001,1.012886,29.3125,4.051095,29.76111,2025-10-06T16:21:58.912838,3.2925199395442633
61,001,1.012128,29.3125,4.051095,29.412,2025-10-06T16:22:11.516698,3.100616769542171
62,001,1.011545,29.3125,4.051095,29.14773,2025-10-06T16:22:24.132463,2.952845149141126
63,001,1.012143,29.3125,4.051095,29.41916,2025-10-06T16:22:39.366614,3.1044167945409527
64,001,1.011454,29.3125,4.056309,29.10672,2025-10-06T16:22:54.110897,2.9297659864865864
65,001,1.011475,29.3125,4.045881,29.11622,2025-10-06T16:23:06.703510,2.935092273456121
66,001,1.011529,29.3125,4.051095,29.1405,2025-10-06T16:23:19.302249,2.948787540790704
67,001,1.012291,29.3125,4.056309,29.48674,2025-10-06T16:23:33.854495,3.141905027909729
68,001,1.012292,29.3125,4.051095,29.48734,2025-10-06T16:23:46.427944,3.142158293765192
69,001,1.012793,29.3125,4.051095,29.71801,2025-10-06T16:23:59.032063,3.2689887842110465
70,001,1.013195,29.3125,4.056309,29.90543,2025-10-06T16:24:11.877790,3.370676622692258
71,001,1.012504,29.25,4.056309,29.58456,2025-10-06T16:24:27.495313,3.195840651522076
72,001,1.012652,29.25,4.051095,29.65295,2025-10-06T16:24:42.120503,3.2333052146142336
73,001,1.012295,29.25,4.051095,29.48877,2025-10-06T16:24:54.827249,3.1429180886731274
74,001,1.012209,29.25,4.051095,29.4491,2025-10-06T16:25:07.658356,3.121135719617655
75,001,1.012349,29.25,4.051095,29.5132,2025-10-06T16:25:20.503287,3.1565937150464833
76,001,1.010404,29.25,4.051095,28.63905,2025-10-06T16:25:33.277591,2.663201740656973
77,001,1.010916,29.25,4.051095,28.86585,2025-10-06T16:25:47.875719,2.7932447842258625
78,001,1.011119,29.25,4.051095,28.95652,2025-10-06T16:26:00.470702,2.8447725413013814
79,001,1.011334,29.25,4.051095,29.05247,2025-10-06T16:26:13.067632,2.8993263038560144
80,001,1.010991,29.25,4.035453,28.89902,2025-10-06T16:26:25.685959,2.8122842667473833
81,001,1.011276,29.25,4.045881,29.02674,2025-10-06T16:26:38.513762,2.884611497763899
82,001,1.0116,29.25,4.045881,29.17252,2025-10-06T16:26:51.066141,2.9667923110322363
83,001,1.011541,29.25,4.056309,29.14565,2025-10-06T16:27:05.907409,2.95183075770899
84,001,1.010356,29.25,4.045881,28.61809,2025-10-06T16:27:18.496453,2.6510042239258382
85,001,1.010831,29.25,4.045881,28.82784,2025-10-06T16:27:31.334664,2.771663680368192
86,001,1.010554,29.1875,4.051095,28.70527,2025-10-06T16:27:44.917622,2.7013123695709282
87,001,1.010537,29.1875,4.051095,28.69788,2025-10-06T16:27:58.221331,2.6969936681580293
88,001,1.010289,29.1875,4.051095,28.58866,2025-10-06T16:28:11.391009,2.633976808073612
89,001,1.010531,29.1875,4.051095,28.69546,2025-10-06T16:28:24.160023,2.695469389891173
90,001,1.010525,29.1875,4.051095,28.69238,2025-10-06T16:28:36.753675,2.6939450956015207
91,001,1.010682,29.1875,4.051095,28.76204,2025-10-06T16:28:49.777234,2.733825521114113
92,001,1.01101,29.1875,4.051095,28.90783,2025-10-06T16:29:02.346189,2.8171072052994077
93,001,1.011063,29.1875,4.051095,28.93142,2025-10-06T16:29:15.172280,2.830559817292169
94,001,1.011296,29.1875,4.056309,29.03545,2025-10-06T16:29:28.023081,2.8896857376377056
95,001,1.011867,29.1875,4.056309,29.29335,2025-10-06T16:29:43.599896,3.03448036360237
96,001,1.012503,29.1875,4.051095,29.58418,2025-10-06T16:29:56.400647,3.1955874795891077
97,001,1.012917,29.1875,4.045881,29.77562,2025-10-06T16:30:09.055672,3.300362807466854
98,001,1.012757,29.1875,4.045881,29.70138,2025-10-06T16:30:21.629979,3.2598789222234927
99,001,1.012857,29.1875,4.051095,29.74764,2025-10-06T16:30:34.359703,3.285182678129104
100,001,1.012303,29.1875,4.051095,29.49217,2025-10-06T16:30:47.041132,3.144944188929344
101,001,1.011834,29.1875,4.035453,29.27851,2025-10-06T16:30:59.624412,3.0261161377295593
102,001,1.01184,29.1875,4.051095,29.28081,2025-10-06T16:31:12.425199,3.027636942004392
103,001,1.011242,29.1875,4.051095,29.01134,2025-10-06T16:31:25.187322,2.8759848821437117
104,001,1.010029,29.1875,4.056309,28.47488,2025-10-06T16:31:39.775709,2.5678813345650724
105,001,1.010038,29.1875,4.045881,28.47905,2025-10-06T16:31:52.532846,2.570169758023326
106,001,1.009956,29.1875,4.051095,28.44328,2025-10-06T16:32:05.160475,2.549318343799996
107,001,1.010234,29.125,4.045881,28.56474,2025-10-06T16:32:19.771922,2.619997584543057
108,001,1.009969,29.1875,4.051095,28.44868,2025-10-06T16:32:32.359034,2.5526242556938996
109,001,1.009531,29.125,4.056309,28.25883,2025-10-06T16:32:47.922237,2.441198957056031
110,001,1.009376,29.125,4.051095,28.19175,2025-10-06T16:33:00.508406,2.4017471298265036
111,001,1.009562,29.125,4.051095,28.27184,2025-10-06T16:33:13.111222,2.449088036064836
112,001,1.009324,29.125,4.051095,28.16933,2025-10-06T16:33:25.645639,2.3885092761161104
113,001,1.00981,29.125,4.051095,28.37941,2025-10-06T16:33:38.199501,2.5121852363721473
114,001,1.010484,29.125,4.051095,28.67436,2025-10-06T16:33:50.801763,2.6835286557744666
115,001,1.010195,29.125,4.045881,28.54734,2025-10-06T16:34:03.390434,2.610084227814127
116,001,1.010538,29.125,4.045881,28.69842,2025-10-06T16:34:15.987997,2.6972477129780827
117,001,1.01044,29.125,4.045881,28.65506,2025-10-06T16:34:28.775088,2.67234920503563
118,001,1.010202,29.125,4.051095,28.55061,2025-10-06T16:34:41.575424,2.611863598140417
119,001,1.01071,29.125,4.051095,28.77452,2025-10-06T16:34:54.173365,2.7409368012524737
120,001,1.010826,29.125,4.051095,28.82601,2025-10-06T16:35:06.975975,2.7703941036094193
121,001,1.011412,29.125,4.045881,29.08769,2025-10-06T16:35:19.585536,2.9191128250398606
122,001,1.011611,29.125,4.051095,29.17735,2025-10-06T16:35:32.196405,2.969581582267324
123,001,1.011973,29.125,4.051095,29.34148,2025-10-06T16:35:44.778403,3.0613440030574566
124,001,1.011402,29.125,4.045881,29.08312,2025-10-06T16:35:57.575317,2.9165762425629964
125,001,1.010967,29.125,4.045881,28.88864,2025-10-06T16:36:10.354897,2.806191904440084
126,001,1.010803,29.125,4.051095,28.81561,2025-10-06T16:36:22.953596,2.7645539073065493
127,001,1.01087,29.125,4.045881,28.84536,2025-10-06T16:36:35.766986,2.781565997505595
128,001,1.011089,29.125,4.051095,28.94306,2025-10-06T16:36:48.552204,2.837158755350856
129,001,1.01119,29.125,4.051095,28.98821,2025-10-06T16:37:01.149917,2.862790241263383
130,001,1.010613,29.125,4.051095,28.73131,2025-10-06T16:37:13.756596,2.716299806119764
131,001,1.009755,29.0625,4.051095,28.35555,2025-10-06T16:37:26.353098,2.4981942726689113
132,001,1.01009,29.125,4.051095,28.50149,2025-10-06T16:37:38.939931,2.583391053508876
133,001,1.010272,29.125,4.045881,28.58126,2025-10-06T16:37:51.541890,2.6296561010174173
134,001,1.009902,29.0625,4.056309,28.41959,2025-10-06T16:38:05.370835,2.5355852880891234
135,001,1.010328,29.0625,4.045881,28.60605,2025-10-06T16:38:18.167095,2.6438885320769714
136,001,1.010169,29.0625,4.051095,28.5362,2025-10-06T16:38:30.766793,2.603474946933261
137,001,1.009993,29.0625,4.051095,28.45902,2025-10-06T16:38:43.868857,2.5587272797670266
138,001,1.009931,29.125,4.051095,28.43235,2025-10-06T16:38:56.458565,2.542960609215811
139,001,1.010159,29.0625,4.045881,28.53185,2025-10-06T16:39:09.052898,2.600932835641629
140,001,1.010148,29.0625,4.051095,28.52704,2025-10-06T16:39:21.658282,2.598136461767467
141,001,1.010117,29.0625,4.045881,28.51338,2025-10-06T16:39:34.449172,2.5902554817372447
142,001,1.010472,29.0625,4.045881,28.66911,2025-10-06T16:39:47.256971,2.680479800132048
143,001,1.009941,29.0625,4.045881,28.43663,2025-10-06T16:39:59.840539,2.545503736478395
144,001,1.007467,29.0625,4.051095,27.38568,2025-10-06T16:40:12.439056,1.9149727467645334
145,001,1.007008,29.0625,4.051095,27.19662,2025-10-06T16:40:25.033994,1.7976892900196617
146,001,1.007336,29.0625,4.051095,27.33139,2025-10-06T16:40:37.635802,1.8815093291569838
147,001,1.00771,29.0625,4.045881,27.4865,2025-10-06T16:40:50.431940,1.9770257339907857
148,001,1.007944,29.0625,4.045881,27.58422,2025-10-06T16:41:03.229314,2.036755450719056
149,001,1.008198,29.0625,4.051095,27.69068,2025-10-06T16:41:17.762470,2.1015625124204007
150,001,1.0077,29.0625,4.051095,27.48259,2025-10-06T16:41:30.571802,1.9744726353347914
151,001,1.007316,29.0625,4.045881,27.3231,2025-10-06T16:41:43.156528,1.8763997331549263
152,001,1.007871,29.0625,4.051095,27.55375,2025-10-06T16:41:55.971149,2.0181244539243153
153,001,1.007728,29.0625,4.051095,27.49428,2025-10-06T16:42:08.552164,1.9816211986353665
154,001,1.006889,29.0,4.051095,27.14756,2025-10-06T16:42:21.163224,1.7672670329637867
155,001,1.00662,29.0625,4.051095,27.03795,2025-10-06T16:42:33.756509,1.6984739554692396
156,001,1.006969,29.0625,4.051095,27.18074,2025-10-06T16:42:46.550779,1.7877196709034706
157,001,1.007328,29.0625,4.045881,27.32829,2025-10-06T16:42:59.141085,1.8794655122881068
158,001,1.007724,29.0625,4.051095,27.49237,2025-10-06T16:43:11.748118,1.9805999968182277
159,001,1.008097,29.0,4.051095,27.64833,2025-10-06T16:43:24.335414,2.075796234891868
160,001,1.007998,29.0625,4.045881,27.60689,2025-10-06T16:43:36.937789,2.0505357480683415
161,001,1.00783,29.0625,4.051095,27.5366,2025-10-06T16:43:49.528636,2.0076594225052986
162,001,1.007382,29.0625,4.045881,27.3504,2025-10-06T16:44:02.336598,1.8932607190428143
163,001,1.007473,29.0,4.051095,27.38844,2025-10-06T16:44:15.435184,1.9165052380569705
164,001,1.007979,29.0,4.051095,27.59873,2025-10-06T16:44:28.034084,2.0456872738452603
165,001,1.007424,29.0625,4.045881,27.36773,2025-10-06T16:44:40.618958,1.9039894200670915
166,001,1.007567,29.0,4.045881,27.42735,2025-10-06T16:44:53.224369,1.940512160872231
