brix_scaled,temperature_scaled,alcohol_scaled,timestamp
1.0,1.0,1.0,2025-10-06 16:08:45.513729
0.9516066734825724,0.9892711801701806,0.9516100136067966,2025-10-06 16:08:58.411916
0.9080152096132081,0.9792822789493139,0.9080213688248933,2025-10-06 16:09:10.999436
0.8692256083919074,0.9700332963374052,0.8692340656542901,2025-10-06 16:09:23.931160
0.8379566619308352,0.9604143544210162,0.837966653174397,2025-10-06 16:09:39.360793
0.806914006465847,0.953755086940439,0.8069253292742764,2025-10-06 16:09:52.184417
0.7786256469562314,0.9441361450240491,0.7786380879190125,2025-10-06 16:10:05.014049
0.7614191490337557,0.9337772844987073,0.7614323164280303,2025-10-06 16:10:19.631569
0.7660915308081755,0.9234184239733647,0.7661044983280163,2025-10-06 16:10:34.292574
0.7667529441088763,0.9123196448390702,0.7667658696696047,2025-10-06 16:10:46.968348
0.7644493744286757,0.9064002959674458,0.7644623778881159,2025-10-06 16:11:01.854007
0.7525837241019511,0.9049204587495403,0.7525971480864508,2025-10-06 16:11:16.785212
0.7249054659087385,0.9004809470958213,0.7249197413074899,2025-10-06 16:11:29.947419
0.7036489545960155,0.8975212726600104,0.7036638097758254,2025-10-06 16:11:42.821448
0.6899540809954658,0.8923418423973395,0.689969284584069,2025-10-06 16:11:55.471748
0.6895043411570819,0.8893821679615259,0.6895195551616742,2025-10-06 16:12:08.127238
0.7001680755084055,0.8849426563078078,0.7001830140634462,2025-10-06 16:12:20.945290
0.7200542640822933,0.8819829818719969,0.7200686854555622,2025-10-06 16:12:36.935196
0.733408269070641,0.8768035516093251,0.7334223106125186,2025-10-06 16:12:49.573478
0.7428696851767277,0.8738438771735133,0.7428834545175218,2025-10-06 16:13:02.132408
0.7351104379045822,0.8694043655197952,0.7351244158885315,2025-10-06 16:13:14.718613
0.7277542933335666,0.8664446910839834,0.7277684815404413,2025-10-06 16:13:29.283647
0.7110704419778066,0.8612652608213116,0.7110851005590098,2025-10-06 16:13:42.102617
0.6942387948224154,0.8568257491675935,0.6942539056295574,2025-10-06 16:13:58.264801
0.68648406054584,0.8560858305586407,0.686499389239908,2025-10-06 16:14:11.081809
0.7018044673447058,0.855345911949688,0.701819353770917,2025-10-06 16:14:24.592144
0.7298412140888093,0.8509064002959699,0.7298554385325431,2025-10-06 16:14:39.839637
0.7256342634805251,0.845726970033299,0.7256484393539531,2025-10-06 16:14:52.559209
0.6844343072398071,0.8427672955974872,0.6844491589700898,2025-10-06 16:15:05.846997
0.6554188231261752,0.8383277839437682,0.6554344081599037,2025-10-06 16:15:20.888034
0.5969592416581089,0.8353681095079564,0.5969759017327803,2025-10-06 16:15:33.672773
